"logFC","unshrunk.logFC","logCPM","PValue","FDR","topDE"
"Tcas000381",4.66330602820617,4.70934217207824,3.42064342115637,1.49749185210311e-10,1.49629385862142e-06,"UP"
"Tcas007752",3.02559620551911,3.02696987839039,6.59250625253926,7.31572031939847e-09,3.65493387157148e-05,"UP"
"Tcas005506",2.74051724082784,2.74101301749733,7.65984076525008,1.65248347342898e-08,4.63093265221598e-05,"UP"
"Tcas002348",1.7138507367833,1.71392480738832,9.25657329034609,1.93652498079978e-08,4.63093265221598e-05,"UP"
"Tcas002492",2.15587535787877,2.16471851664581,2.93552608056753,2.31732018225379e-08,4.63093265221598e-05,"UP"
"Tcas012119",2.2311308663254,2.23198438733291,6.43018176488198,3.58768710899756e-08,5.97469493218393e-05,"UP"
"Tcas011920",2.01824940838109,2.01843472347053,8.28523971745756,4.2228554583707e-08,6.02782453429143e-05,"UP"
"Tcas001445",3.11953202729878,3.12058134648856,7.4420319710685,6.04168872042435e-08,7.0629372338242e-05,"UP"
"Tcas007215",3.01706785527796,3.02178369469389,4.79594971459142,6.36173289675918e-08,7.0629372338242e-05,"UP"
"Tcas003260",1.41145655589784,1.41155074646064,8.54961624216358,8.29065024455166e-08,7.74460928575332e-05,"UP"
"Tcas004278",3.44395900799619,3.44410227069907,10.5717022672426,9.21296249042409e-08,7.74460928575332e-05,"UP"
"Tcas011916",3.33637370905298,3.35135569131573,3.38052084505822,9.30097192044034e-08,7.74460928575332e-05,"UP"
"Tcas005259",2.80676150142178,2.80682656481588,11.1143595907255,1.21303381909631e-07,9.3235645541618e-05,"UP"
"Tcas000125",3.22712629973315,3.23302714945404,4.69479127422315,1.732292903872e-07,0.000123636219253493,"UP"
"Tcas009707",1.77464636928923,1.77509378982047,6.76048598422742,2.9040721611595e-07,0.000187526975922986,"UP"
"Tcas012300",2.41549534234142,2.4186242698947,4.73207781197414,3.00283388187327e-07,0.000187526975922986,"UP"
"Tcas005135",0.939821033589325,0.940303853405805,5.46294466346182,3.32371526250941e-07,0.000195356252370553,"NA"
"Tcas006834",2.23892054398583,2.24005307768351,5.92211799954561,3.59272039871578e-07,0.000199435901244267,"UP"
"Tcas011980",1.62279477812908,1.62403223407042,5.08765782915526,4.21935850814591e-07,0.000210982984636505,"UP"
"Tcas008231",1.9742209942629,1.97521162339873,5.85463113097355,4.22303812322869e-07,0.000210982984636505,"UP"
"Tcas007069",1.66095905288935,1.66127046457656,7.16505211516704,5.30409289565601e-07,0.000249827704064403,"UP"
"Tcas007649",1.96423670566418,1.96662981645147,4.58013781824027,5.61101904128981e-07,0.000249827704064403,"UP"
"Tcas011558",1.23261121441047,1.23264313711361,9.83858007992458,5.75063770364419e-07,0.000249827704064403,"UP"
"Tcas005749",1.18715498519738,1.18864167962772,4.25775808817949,6.32165672266859e-07,0.000263191641553769,"UP"
"Tcas008986",1.19850697848516,1.198751784142,6.84860450460451,7.53520542035192e-07,0.000301167090240625,"UP"
"Tcas008044",2.70489288161441,2.70847558490832,4.78548364352678,9.59327090766009e-07,0.000368676780420537,"UP"
"Tcas008014",2.22169911219253,2.22189450152929,8.66301838869958,1.07006066858492e-06,0.000396001711129648,"UP"
